                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2375,                 4.7663,                 4.3543,                0.00016,                0.00205,                  8e-05,                  2e-05,                 5.2789,                 4.8459,                 4.1608,                 0.0001,                 0.0001,                 0.0001
                      2,                 5.2648,                 4.9915,                 4.3418,                 0.0002,                0.00256,                 0.0001,                  3e-05,                 5.2794,                 4.8527,                 4.1634,             0.00021782,             0.00021782,             0.00021782
                      3,                 5.2036,                  4.678,                 4.2372,                0.00016,                0.00205,                  8e-05,                  2e-05,                 5.2804,                  4.856,                 4.1672,             0.00033327,             0.00033327,             0.00033327
                      4,                 5.1239,                 4.5169,                 4.1085,                 0.0002,                0.00256,                 0.0001,                  3e-05,                 5.2818,                 4.8578,                 4.1733,             0.00044634,             0.00044634,             0.00044634
                      5,                 4.8461,                 4.3873,                 4.0303,                0.00023,                0.00307,                0.00012,                  3e-05,                  5.283,                 4.8601,                 4.1826,             0.00055703,             0.00055703,             0.00055703
                      6,                 4.9431,                 4.1063,                 3.8716,                0.00022,                0.00307,                0.00011,                  3e-05,                 5.2841,                 4.8429,                 4.1962,             0.00066535,             0.00066535,             0.00066535
                      7,                  4.615,                 3.8441,                  3.761,                0.00018,                0.00256,                  9e-05,                  2e-05,                 5.2838,                  4.786,                 4.2141,             0.00077129,             0.00077129,             0.00077129
                      8,                 4.5046,                 3.7286,                 3.4402,                0.00018,                0.00256,                  9e-05,                  2e-05,                 5.2845,                 4.7389,                  4.237,             0.00087486,             0.00087486,             0.00087486
                      9,                 4.2509,                 3.4503,                 3.2611,                0.00017,                0.00205,                  9e-05,                  2e-05,                 5.2894,                 4.6811,                 4.2754,             0.00097605,             0.00097605,             0.00097605
                     10,                 4.1129,                 3.2024,                 3.0382,                0.00018,                0.00205,                  9e-05,                  2e-05,                 5.3024,                 4.6567,                 4.3202,              0.0010749,              0.0010749,              0.0010749
                     11,                 4.0794,                 3.2574,                 2.9362,                0.00019,                0.00205,                 0.0001,                  3e-05,                 5.3269,                 4.7741,                 4.4342,              0.0011713,              0.0011713,              0.0011713
                     12,                 4.0242,                 3.4342,                  2.861,                 0.0002,                0.00205,                 0.0001,                  3e-05,                 5.3369,                 4.8299,                 4.4764,              0.0012654,              0.0012654,              0.0012654
                     13,                 3.7645,                 2.9788,                  2.684,                 0.0002,                0.00205,                 0.0001,                  2e-05,                 5.3311,                 5.2299,                 4.5648,               0.001357,               0.001357,               0.001357
                     14,                 3.6678,                  2.904,                 2.4562,                0.00032,                0.00154,                0.00016,                  3e-05,                 5.3253,                  5.064,                 4.6066,              0.0014464,              0.0014464,              0.0014464
